RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
7940,17278,120340,120342,120343,119076,118834,311236,118424,118836
30616,23921,16673,119691,119692,120356,120069,280134,119695,120071
23048,79121,4936,117961,118343,118292,119433,133686,118424,119435
7144,6977,7624,117961,118052,119742,118321,117906,290919,118322
29049,25628,50134,119301,119302,119303,118321,117906,290919,118322
20113,20292,54419,117926,118266,117884,117885,117913,117887,117888
18305,33248,7520,117961,118343,124725,117905,240983,290919,117908
4812,79092,4341,117961,118300,118957,118784,240983,290919,118786
7208,79092,85475,117961,118300,120410,117905,117906,290919,117908
1853,80154,2014,117961,117962,117904,118958,127525,118960,118961
23173,40919,28475,118315,118463,122636,118465,251993,118467,118468
10406,35498,3767,120864,120865,118360,118777,279443,308574,118779
16094,27831,71279,118219,118220,118221,117899,117897,19721,117900
21270,16116,4712,117961,118343,118395,123067,269406,118398,123068
21347,77203,57718,117961,119256,119257,117946,118806,292795,117948
24079,80877,5697,117961,118386,118692,118784,117906,290919,118786
4487,25328,7393,117902,117903,120428,117905,117906,290919,117908
13747,14354,24192,11146,118491,118810,119323,119324,19793,119325
972,5389,16541,117961,118225,120551,117905,117906,290919,117908
18562,80157,30533,91261,118026,119507,123045,123107,120518,123047
13371,78399,3951,117961,118343,120347,120418,306795,249618,120419
11145,39937,19986,117961,118225,118403,120773,231754,118960,120774
23503,28109,21036,117961,118327,121694,122645,159701,119221,122647
32363,14845,23347,117961,118052,120671,118777,279443,308574,118779
224,75078,3230,117961,118386,121961,120348,249620,118295,120350
2971,17278,51124,117961,118300,118631,118834,123413,118424,118836
20666,38751,70641,117961,118327,120318,118685,310608,308574,118687
12194,42968,17561,91261,118026,118202,118259,118260,290919,118261
32524,18688,14867,117890,118102,117878,117879,117879,19721,117880
25586,13878,110921,117932,117933,117878,216825,121386,19721,216827
30791,45444,27104,117961,118327,118507,118890,138290,118398,118892
15471,79815,79113,117961,118052,119598,119743,311782,3130,119745
26779,41594,153289,117961,118327,121694,122022,306795,119221,122024
13521,77510,8461,117961,118327,118929,120575,172007,249618,120577
31556,30356,7001,117961,118327,118933,121594,132108,4673,121596
16726,27356,56201,91261,118026,118746,118318,168365,118205,118319
4541,16241,6217,117961,118327,118328,123651,121927,118467,123652
12446,21416,4311,119062,119091,118514,118747,271334,118453,118749
21201,27287,1222,117961,118327,120171,118054,126488,117887,118055
27811,4675,7675,117961,118225,120535,120647,311441,118398,120649
24677,17308,4274,117961,118327,118744,120591,183734,119095,120593
32308,39939,22524,119596,119597,119136,119137,122050,118474,119139
11875,43763,49574,117961,118052,118391,120773,118959,118960,120774
19704,35788,2409,117961,117962,117904,119949,123170,290919,119951
6921,39329,27759,119062,119091,123125,118318,311618,118205,118319
13501,79362,1409,117961,118300,120722,118784,290919,290919,118786
30187,35952,89738,117961,117962,118409,307024,310608,118331,118332
15562,45444,50117,117961,118327,118507,121527,147955,118398,121529
20108,75834,8234,117961,118300,118783,117905,117906,290919,117908
3288,34924,28590,117961,118327,120685,118321,118448,290919,118322
25030,114077,7560,117961,118300,119195,117905,117906,290919,117908
6683,43265,4636,117902,117903,119181,120952,130134,118453,120954
13895,33248,57691,117961,117962,120677,122645,306795,119221,122647
7888,18913,19140,117929,117930,119569,179731,119425,117887,117973
27346,80778,21655,118106,118107,117878,118863,230751,118398,118865
25495,22662,46118,117961,118327,120171,118054,120716,117887,118055
26605,78241,6997,117961,118343,119945,117905,117906,290919,117908
27092,20737,11305,117929,117930,117920,121067,124097,121069,121070
16424,27323,234670,117902,118041,119238,122849,119094,119095,122850
3422,39262,16527,91261,118026,118202,117905,117906,290919,117908
24524,3264,3287,118752,119070,118042,118043,118043,270488,118046
32235,34950,802,118752,118753,117945,280788,280788,292795,119082
23777,45790,32457,117961,118327,118320,117905,117906,290919,117908
29360,41758,56723,118315,118316,118317,118318,168365,118205,118319
26938,16116,70264,117961,118343,118437,118523,310608,118331,118525
1881,16430,7554,117961,118225,120551,128230,302830,4673,128231
280,22481,30533,91261,118026,119507,123648,123107,120518,123650
27211,75901,20412,117890,117891,117878,117879,117879,19721,117880
8889,19989,3332,117961,118343,121747,118784,130735,290919,118786
27529,43714,1350,117961,118052,122938,117905,117906,290919,117908
25476,27082,2291,117961,118225,120663,118523,311622,118331,118525
4068,102305,17214,117961,118225,120535,123067,169986,118398,123068
7784,35790,1216,117902,117903,118507,121015,224244,119006,121017
1713,23096,19760,117961,117962,118352,118321,117906,290919,118322
13559,80076,205,117961,118386,118746,118784,147114,290919,118786
14751,6977,21879,117961,117969,118970,118368,189586,117887,118486
19920,4675,5262,119596,119597,123719,118321,117906,290919,118322
21677,42914,69071,117916,118011,117920,118568,300163,19721,118570
25952,15720,16573,117961,117962,122059,153893,153894,130364,153895
23823,20222,58881,118256,118257,117945,280788,280788,292795,119082
31945,4675,880,117961,118413,120526,118321,118448,290919,118322
27469,25287,18220,117961,118052,118867,117905,117906,290919,117908
10943,93757,46254,117961,118327,126310,124886,123881,118643,124888
29156,42678,4918,117961,118300,123055,120344,311360,118424,120346
0,39353,85475,117961,118300,123472,117905,117906,290919,117908
31613,18688,51104,117876,117877,117878,118568,189996,19721,118570
11376,42532,3281,117961,118225,119238,122849,120324,119095,122850
30752,39262,69231,91261,118026,123656,118321,117906,290919,118322
6757,34924,4945,117961,118300,118360,118636,310589,118638,118639
7575,5906,6007,117961,118446,16232,120418,249618,249618,120419
18006,2994,14811,117961,118343,118344,120812,120812,118638,120814
22412,20252,7370,117961,118413,118481,118321,117906,290919,118322
5266,80066,2068,117980,118076,131868,128093,276422,119184,128095
29146,41119,18213,117961,118386,118692,118451,200947,118453,118454
12188,28294,21837,117961,118327,118507,118890,138290,118398,118892
7353,73756,5730,117961,118446,118631,120578,120579,118762,120580
15924,23942,185,119134,119135,118575,118172,307446,249618,118175
20529,20271,63172,117929,117940,117941,117885,117913,117887,117888
22281,43386,1437,118212,118213,118437,118636,192211,118638,118639
31761,3853,2299,117961,117962,119223,123045,123107,120518,123047
17657,42923,5043,117961,118300,118458,118523,129545,118331,118525
29265,73756,5730,117961,118446,118684,124305,120579,118762,124307
28645,6725,6733,117961,117969,6725,127955,127956,127957,127958
20283,32270,16971,117961,118343,119993,118321,117906,290919,118322
3832,75078,17618,117961,118052,126137,133718,121386,124136,133719
29659,29954,6982,117961,118300,118783,118777,279443,308574,118779
2774,28494,13881,118602,118603,117941,117899,117879,19721,117900
9514,41312,3936,117943,117944,117945,118274,299258,292795,118276
4784,33146,1728,117961,118327,118507,121527,128634,118398,121529
18464,40804,27147,117961,118343,122299,120172,121350,290919,120173
9962,83509,17788,117961,118446,119961,132671,118260,290919,132673
23039,927,15389,117961,118225,122870,124886,128018,118643,124888
30717,37548,3966,117961,118343,122012,118259,132715,290919,118261
14720,20218,46632,119280,119281,118623,280788,130913,292795,119082
14869,969,16855,117961,118225,120041,122849,120324,119095,122850
13673,34924,4669,117961,118327,118391,118321,117906,290919,118322
21335,15739,2210,117961,126102,118378,119192,300603,119184,119194
14965,43906,770,117961,118343,119181,118451,130134,118453,118454
16500,73102,46118,117961,118327,120171,118054,120716,117887,118055
31278,79541,3881,117961,118343,118514,117905,117906,290919,117908
9958,80507,3332,117961,118343,121747,117905,117906,290919,117908
26988,1805,1806,117961,118413,122007,117905,240983,290919,117908
21589,22662,124899,117961,118327,120171,120647,249497,118398,120649
12964,101818,1483,117961,117962,118840,118841,118842,118643,118843
27954,28294,22629,91261,118026,118317,118784,120474,290919,118786
12810,79361,3875,117961,118327,120318,120690,130887,290919,120692
18191,16639,3883,117961,118343,119987,118536,132799,308574,118539
5840,76880,1600,117961,118327,118507,118863,122008,118398,118865
19539,34924,34948,121785,121786,121694,117896,119219,117887,117898
25402,23499,52108,117961,118343,119993,117905,117906,290919,117908
25074,80829,61016,119596,119597,118597,120789,194103,118424,120791
31668,79121,5220,117961,118300,118458,120006,303717,118424,120008
23557,74001,92037,118090,118091,119424,179731,133533,117887,117973
13515,19399,89847,118090,118091,117941,117885,117913,117887,117888
25956,13878,50340,118090,118091,117941,118568,131694,19721,118570
24483,16321,21823,117961,118446,118684,118321,117906,290919,118322
19229,4675,8622,119062,119091,143531,118321,117906,290919,118322
21077,4675,1311,117961,117962,117904,128230,302830,4673,128231
15777,278393,1930,122880,122974,122870,120097,159929,270488,120099
26470,1020,3878,117961,118327,119830,118321,117906,290919,118322
16983,34848,7525,117961,118225,120551,117905,240983,290919,117908
25351,19964,16928,117961,118446,120317,118321,117906,290919,118322
12157,43876,50208,118079,118080,117878,117879,304519,19721,117880
6359,30999,852,117961,117962,122215,120773,118959,118960,120774
25502,45481,5396,117961,118343,119993,118321,240983,290919,118322
25628,39353,85475,117961,118300,120410,117905,117906,290919,117908
9280,22329,15395,118256,118257,119796,123670,212510,121916,123672
12341,79092,5228,119596,119597,168533,120789,301124,118424,120791
30245,74310,311355,117961,118343,118292,118912,309291,118424,118914
8899,43451,3800,117961,118225,118403,118321,117906,290919,118322
26639,75834,3145,117961,118300,81476,122860,168459,3130,122862
32759,15679,46503,120140,120141,121589,120952,120953,118453,120954
24855,38972,18096,118256,118257,118623,117946,119722,292795,117948
17181,6977,2296,117961,118413,277693,120952,130134,118453,120954
32121,5729,5916,117961,118446,16232,118321,117906,290919,118322
4577,15805,7389,117961,118386,118746,118747,239652,118453,118749
22144,4675,21135,117961,118343,123494,117905,117906,290919,117908
10925,78320,52916,117890,118102,117878,118568,120877,19721,118570
16413,16794,81744,117902,117903,118783,117905,118036,290919,117908
20926,80217,21823,117961,118446,118684,118321,117906,290919,118322
2306,3853,16823,117961,118343,139876,122030,253355,122032,122033
19925,14354,14695,118602,118603,117941,117899,117899,19721,117900
15395,41642,71897,118990,118991,118992,117905,117906,290919,117908
14688,39396,53348,117961,117969,118970,118396,269406,118398,118399
24770,972,3623,117961,118343,121747,307024,306404,118331,118332
6818,75834,4413,117961,118343,118821,117905,117906,290919,117908
1197,74310,5002,117961,118343,118292,120344,310997,118424,120346
23884,20231,15455,119280,119281,117945,126684,193644,292795,126685
31272,42085,4924,117961,118300,120144,118054,124356,117887,118055
18551,58069,3966,117961,118343,122012,117905,240983,290919,117908
12054,33060,13828,117961,118300,118395,118890,125128,118398,118892
29910,74701,16922,117961,117962,118501,117905,240983,290919,117908
22668,18072,49374,118752,119070,118754,280788,280788,292795,119082
699,17226,15682,117961,118300,118957,118321,117906,290919,118322
13724,79735,1350,117961,118052,120096,117905,117906,290919,117908
20454,43838,13846,117961,118052,120016,123609,118785,123611,123612
19167,80830,6199,117961,118225,120663,117905,117906,290919,117908
5270,77203,15627,117961,119256,119257,280788,280788,292795,119082
10316,699,89939,117961,118413,122007,128230,302830,4673,128231
31414,18913,31857,117929,117930,117920,118568,281735,19721,118570
28034,78563,3979,117961,118343,120347,119433,133686,118424,119435
16890,20293,51095,117926,118124,118344,179731,120238,117887,117973
27930,27618,8088,117961,118413,118481,118321,118448,290919,118322
7738,95384,30533,91261,118026,119507,123045,123107,120518,123047
24310,20733,7320,5110,117954,122672,128197,273102,119772,128199
25873,38392,50222,118079,118080,117878,117879,118177,19721,117880
20599,4603,852,117961,117962,122215,121594,302830,4673,121596
14187,17296,15651,117961,118300,118395,118396,233714,118398,118399
27851,74236,1954,117961,117962,118501,120702,308462,118504,120704
26887,81524,5196,117961,118386,118053,118777,279443,308574,118779
17726,79121,2765,118290,118291,118301,120344,267006,118424,120346
16641,26915,1397,117961,118300,120722,118784,240983,290919,118786
12995,20272,71169,117910,117911,119791,179731,133526,117887,117973
12134,3853,6235,117961,118343,118437,124194,249872,118363,124196
32504,78972,15887,117961,118052,120356,120357,127906,118424,120359
9903,79543,2641,117961,118386,118404,118321,117906,290919,118322
22889,30583,7748,118573,118574,117945,117946,129731,292795,117948
25787,15369,15516,117961,118052,120304,118702,295036,118704,118705
31060,43877,119058,118079,118080,117878,117879,117913,19721,117880
14053,75078,19834,117961,118052,120096,120097,174445,270488,120099
17317,391,48626,117926,118124,117884,117879,117886,19721,117880
15668,73144,5001,117961,118343,123476,118980,301534,118295,118982
19603,74099,1999,118084,118085,131868,128093,139264,119184,128095
2328,33147,13441,117961,118300,119181,118207,205690,270488,118209
19443,6977,108868,119062,119091,120297,117905,117906,290919,117908
29723,81248,20382,117961,118300,124942,123737,123107,118960,123738
22902,77945,7369,117961,118386,118896,118321,117906,290919,118322
7571,14960,27887,118084,118085,117884,117885,117913,117887,117888
24695,27348,5183,118290,118291,119837,118834,169002,118424,118836
7974,78972,311198,91261,118026,122392,121143,173805,249618,121145
13973,6496,55,119920,119921,124211,118321,117906,290919,118322
20514,39186,6618,118602,118603,117941,118568,118568,19721,118570
26622,25898,6071,117961,118413,122007,118321,117906,290919,118322
14233,34924,4589,117961,118327,120383,118321,149826,290919,118322
917,32270,2946,117961,118300,119796,118685,120316,308574,118687
6703,39330,17290,117961,118386,118522,117905,117906,290919,117908
28166,18418,4887,117961,118343,120126,120497,223125,118424,120499
5320,80383,7807,117961,118327,118518,120097,146705,270488,120099
8315,28850,22431,117961,118413,126229,132671,126363,290919,132673
10863,20364,3622,117961,118300,118458,118834,223125,118424,118836
26617,80723,23224,117961,118225,120535,123067,269406,118398,123068
27029,75037,3838,117961,118225,119924,117905,117906,290919,117908
15652,112098,2296,117961,118413,277693,120773,118959,118960,120774
19683,39262,50134,119301,119302,119303,118321,117906,290919,118322
25069,75216,55638,119280,119281,118623,118995,136748,292795,118997
29879,33249,51311,117961,118343,121747,119928,136239,118331,119929
4834,35540,61026,117929,117940,117941,117885,117913,117887,117888
2448,79845,85343,117961,118327,118933,118784,117906,290919,118786
5469,20271,55845,117916,117917,117884,117879,117886,19721,117880
4142,7678,1550,117961,118225,123173,118054,121311,117887,118055
6908,75078,311198,91261,118026,122392,117946,177669,292795,117948
242,42881,1988,117961,118446,16232,117905,117906,290919,117908
29793,75078,41797,117961,118386,118522,120690,127922,290919,120692
14308,17308,15422,117961,118052,122392,118054,118054,117887,118055
4893,80905,4712,117961,118343,118395,123067,269406,118398,123068
13549,37951,51149,117890,118102,117878,117879,117879,19721,117880
31983,34958,7133,117961,118327,118320,117905,117906,290919,117908
7873,38392,71961,118003,118004,117878,117879,117879,19721,117880
23706,79616,70264,117961,118343,118437,118523,310608,118331,118525
15761,45019,59067,117961,118327,121645,118641,306399,118643,118644
18445,79541,3881,117961,118343,118514,118321,117906,290919,118322
26372,3853,17058,117961,118300,119488,120418,284553,249618,120419
11968,13878,51165,117983,117984,117878,117879,117879,19721,117880
30336,42732,4622,118212,119763,117878,133111,125539,118870,133113
18980,17308,139593,117902,118041,119781,130479,179826,119784,130481
11323,36023,1938,117961,118300,131868,120618,304465,118643,120619
23825,3264,13441,117961,118225,122870,118207,279443,270488,118209
21101,73904,1541,117961,118225,123173,119093,123174,119095,119096
17572,73554,126887,122532,122533,117945,280788,280788,292795,119082
12052,75078,7369,117961,118386,118896,118321,117906,290919,118322
22986,43170,4478,117961,118386,118692,118321,117906,290919,118322
19635,18072,46472,117961,119256,120943,118995,122492,292795,118997
10079,17249,17733,117961,118300,119984,118890,125128,118398,118892
15355,35381,59347,117961,118327,118320,118784,147114,290919,118786
15767,43735,3077,117961,118300,120312,118361,118362,118363,118364
27722,19666,21037,117961,117969,19666,118368,118368,117887,118486
20329,82341,7072,117961,117962,118352,117905,117906,290919,117908
29275,20364,5659,117961,118300,124725,118321,117906,290919,118322
13765,23194,13822,117961,118300,127849,127850,311360,118424,127851
13545,80381,2296,117961,118413,127522,118451,256937,118453,118454
1905,38391,14580,118212,118580,117895,117885,117913,117887,117888
17899,44123,51058,117902,117903,134257,118318,168365,118205,118319
359,34628,2034,117961,118052,118328,299559,118204,118205,163732
18612,27840,17002,5110,117954,117895,117899,117897,19721,117900
27631,25274,4998,117961,118343,119598,119928,310608,118331,119929
16056,80754,5047,117961,118300,127284,118826,236735,118424,118828
28214,38237,50675,117983,117984,117878,117879,117879,19721,117880
6107,79948,53081,117961,118343,119598,119433,133686,118424,119435
12766,78592,36010,117893,117894,117895,117879,117897,19721,117880
19634,20296,50366,118138,118139,117884,117879,117886,19721,117880
12669,75078,40922,118315,118463,118464,123651,128689,118467,123652
21749,27837,195311,119301,119302,119303,118784,233216,290919,118786
30142,25279,22504,117961,118300,123055,120344,128788,118424,120346
20866,34583,770,117961,118300,119181,118451,130134,118453,118454
862,23966,14855,117961,118300,123719,118451,153802,118453,118454
26156,17308,4474,117961,118446,119064,118321,118448,290919,118322
15762,28294,21009,117961,118343,149210,120097,174445,270488,120099
10716,40237,75087,91261,118026,118027,121143,121144,249618,121145
29373,75078,94667,118315,118316,125316,118636,126747,118638,118639
19973,27082,17215,117961,118225,120535,123067,300044,118398,123068
32590,34810,111559,117961,118225,119824,118702,129851,118704,118705
8357,78925,19830,119062,119091,123125,118784,121556,290919,118786
10560,79121,4189,117961,118343,119987,118636,310589,118638,118639
25398,34861,4565,117961,118386,121961,117905,290878,290919,117908
5679,4675,8461,117961,118327,118929,118459,288581,249618,118461
5617,58905,4837,117961,118300,120026,118054,119601,117887,118055
6965,74700,7560,117961,118300,119181,117905,290919,290919,117908
6969,73798,1550,117961,118225,123173,118054,120514,117887,118055
27153,20897,4571,117961,118225,119924,118685,279443,308574,118687
29370,79323,17733,117961,118300,119984,118890,125128,118398,118892
22595,43963,4565,117961,118386,121961,117905,290878,290919,117908
6543,29100,2836,118169,118170,118556,117946,175307,292795,117948
13310,81478,5504,117961,118300,118514,117905,117906,290919,117908
3089,79092,3230,117961,118386,121961,120348,249620,118295,120350
30229,34861,7660,117961,118386,120361,118321,117906,290919,118322
14728,80202,2299,117961,117962,119223,123737,131844,118960,123738
7646,79361,19829,117961,118386,118896,118784,121873,290919,118786
30136,45300,36144,117961,118300,124816,118685,126297,308574,118687
29736,23921,3944,117961,118343,118514,118321,117906,290919,118322
16329,976,1930,122880,122974,122870,120097,281292,270488,120099
28561,79962,252252,117902,117903,118437,122129,305057,121916,122131
25527,5372,3966,117961,118343,122012,118685,120316,308574,118687
14515,20287,31585,117975,117976,117884,117885,117913,117887,117888
31430,4675,1903,117961,118343,118514,117905,117906,290919,117908
11938,31825,4823,117961,118343,121710,307024,132719,118331,118332
4040,29304,85101,117975,117976,117920,124313,133508,120134,124315
15876,41430,7320,5110,117954,122672,128197,273102,119772,128199
14818,33248,50015,117961,118343,119598,118422,300136,118424,118425
8814,80623,4932,117961,118225,119824,123737,147851,118960,123738
1860,27122,7822,117961,118327,118492,132692,174445,270488,132694
30722,39879,15484,118256,118257,118623,126684,193644,292795,126685
6316,79092,2395,117961,118300,123055,118728,301534,118295,118730
22011,42093,16682,119596,119597,120026,118293,118294,118295,118296
7132,41434,52423,119665,119666,117895,118568,267952,19721,118570
19509,39599,5201,117961,118343,118979,307024,159672,118331,118332
11572,30840,4712,117961,118343,118395,123067,233714,118398,123068
1080,34688,8026,117961,118386,123656,119962,147416,118205,119964
8341,33642,78685,118216,118587,117920,117879,135898,19721,117880
28972,4675,8195,117961,118343,120270,123648,123649,120518,123650
9177,42367,50511,118006,118007,117884,117899,117897,19721,117900
23675,91362,4013,117961,118300,118514,117905,117906,290919,117908
24153,28149,13543,117961,118386,125016,118530,278014,118131,118532
30675,43863,6083,117961,117962,122224,118777,279443,308574,118779
16084,86304,5524,117961,118343,118514,117905,240983,290919,117908
11669,28936,7475,91261,118026,118202,118321,117906,290919,118322
15640,75834,3245,117961,118300,121216,119743,132775,3130,119745
25567,116764,4584,117961,118300,120297,117905,117906,290919,117908
18183,79019,5595,131853,131854,120370,117905,117906,290919,117908
28919,20897,23345,117961,118327,123757,119997,278014,118131,119998
2772,60108,6879,117902,118041,120323,119093,119094,119095,119096
4346,80452,1614,117961,118327,118507,118747,130134,118453,118749
5582,25885,2229,117961,118413,118450,119192,119193,119184,119194
15760,75809,4659,117961,118225,120663,118321,117906,290919,118322
11272,78556,1045,117961,118052,120559,118054,128432,117887,118055
25994,77448,22431,117961,118413,126229,118777,279443,308574,118779
12682,41410,31436,118582,120216,117895,117899,117899,19721,117900
14808,78926,8453,119062,119091,123125,307024,311622,118331,118332
12953,110357,52687,117961,117962,117904,128230,302830,4673,128231
16575,43906,7676,117961,118300,119181,118321,117906,290919,118322
25409,79422,17617,117961,118386,119214,118321,117906,290919,118322
4791,74431,7424,5110,117954,122672,118777,306530,308574,118779
15907,25442,14474,121518,121519,117895,118568,212837,19721,118570
5623,20364,4909,117961,118300,118458,120497,223125,118424,120499
17423,16985,6257,117961,118343,120722,118321,117906,290919,118322
23853,391,48700,117926,118266,118810,118811,238503,19793,118813
23207,44675,88570,117961,118413,120370,118321,117906,290919,118322
21250,15714,2456,118752,118753,120995,117946,118806,292795,117948
4580,27416,69198,118953,118954,117920,122142,122142,19721,122143
1108,32270,4933,117961,118343,118458,120006,219966,118424,120008
28696,1020,71215,117961,118386,118404,117905,117906,290919,117908
22888,45784,122272,117961,118225,122273,120516,189220,120518,120519
17921,39001,52734,118290,118291,118660,118293,118294,118295,118296
16426,23921,4716,118290,118291,120026,120344,165069,118424,120346
13782,16064,17598,117961,118300,118631,119928,219829,118331,119929
16789,6977,16928,117961,118446,120317,118321,117906,290919,118322
5285,75901,5177,117961,118386,125016,118685,132054,308574,118687
22802,79299,86857,117902,118041,118556,280788,280788,292795,119082
2386,32997,2270,117961,118413,120584,118958,118959,118960,118961
6037,85330,46476,117902,117903,117904,117905,117906,290919,117908
7674,75216,38902,118256,118257,117945,118995,118806,292795,118997
20523,16191,7133,117961,118327,118320,118784,118785,290919,118786
32466,33054,4215,118212,118213,118597,118728,301534,118295,118730
27737,44987,16569,117961,118327,120559,122269,141096,118643,122271
27988,22318,8697,117961,118446,119064,118784,117906,290919,118786
7435,278393,61062,117961,118446,120368,119849,219966,118638,119851
7340,23734,16973,117961,118300,124942,117905,117906,290919,117908
11543,31441,4287,117961,118343,118833,118912,278748,118424,118914
16568,74717,4218,117961,118300,118301,118422,300136,118424,118425
21960,45412,4620,117961,118300,119195,117905,117906,290919,117908
7702,15910,3242,117961,118343,118514,118321,240983,290919,118322
26043,72024,13794,117961,118052,120417,121414,151221,118704,121416
28576,35265,3688,120883,120884,118378,119192,300603,119184,119194
12396,25726,4549,117961,118225,120050,118321,117906,290919,118322
3046,79092,28890,117961,118327,125144,124775,209906,122032,124777
32515,75834,52140,118887,118888,124656,118980,236007,118295,118982
30951,34871,4500,117961,118052,118881,118321,117906,290919,118322
20341,33054,4965,120864,121013,124133,124134,225335,124136,124137
12103,74236,3692,117961,118413,126229,121594,207709,4673,121596
15171,6964,59067,117961,118327,121645,118641,306399,118643,118644
16896,75954,5196,117961,118052,118053,118636,197472,118638,118639
26128,80821,15768,117961,118225,124449,122297,143193,118331,118899
21769,33054,4375,117961,118343,120347,120344,311701,118424,120346
26256,116247,7408,117961,117962,118352,118321,240983,290919,118322
27706,23921,14862,117961,118225,118403,118980,301534,118295,118982
12789,78819,18220,117961,118052,118867,117905,117906,290919,117908
31511,37793,54261,117890,117891,117878,117879,123862,19721,117880
8466,32270,4887,117961,118343,119598,118422,300136,118424,118425
30495,72043,18450,117961,118052,118821,121594,142587,4673,121596
16682,32092,90707,118219,118220,117920,118568,305057,19721,118570
5993,25993,5697,117961,118386,118692,118784,117906,290919,118786
9865,42085,52902,118595,118596,81476,120344,138524,118424,120346
3003,3853,5114,117961,118300,119890,120344,303717,118424,120346
16108,22682,169,117961,118413,121639,118321,117906,290919,118322
18255,20292,60979,117926,117927,117884,117885,117913,117887,117888
7277,76880,1605,117961,118327,128935,118396,235280,118398,118399
